Habit,Priority
Green Tea,
Water - 2 litres,
Kefir,
Update meds - Health app,
Gym - strength,Urgent
Gym - cardio,Urgent
Shower,
Brush teeth,
Study - 1 hour,Urgent
No processed food,Urgent
